"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00007360","Nancy Pelosi (D)","F03","Commercial Banks","15000","5930","20930","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","K02","Lobbyists","0","18765","18765","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N15","Misc Manufacturing & Distributing","9000","7640","16640","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N05","Business Services","5500","9077","14577","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","E08","Electric Utilities","11000","2774","13774","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","Q15","Abortion Policy/Pro-Abortion Rights","5000","8750","13750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","F11","Accountants","5000","7185","12185","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","F05","Credit Unions","11000","0","11000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","A01","Crop Production & Basic Processing","10000","425","10425","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","W03","Civil Servants/Public Officials","0","10199","10199","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N06","Recreation/Live Entertainment","10000","135","10135","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","M04","Railroads","10000","15","10015","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","Q16","Candidate Committees","10000","0","10000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","C04","Construction Services","7500","2155","9655","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N08","Lodging/Tourism","7500","1938","9438","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","H03","Health Services/HMOs","6000","3035","9035","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","M02","Automotive","9000","15","9015","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N12","Misc Business","0","7255","7255","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N04","Misc Services","0","6605","6605","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","W07","Other","0","6136","6136","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","D03","Misc Defense","6000","105","6105","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","E07","Misc Energy","5000","190","5190","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","C01","General Contractors","3500","1340","4840","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
