"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00031134","Patrick Meehan (R)","C03","Special Trade Contractors","20000","6900","26900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N03","Retail Sales","21000","1750","22750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","B08","Telephone Utilities","19000","0","19000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","Q09","Human Rights","10000","8650","18650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N00","Business Associations","14000","2500","16500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","C05","Building Materials & Equipment","15500","1000","16500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","C02","Home Builders","8500","5700","14200","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N02","Beer, Wine & Liquor","9967","3650","13617","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","M04","Railroads","12500","0","12500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","A09","Food Processing & Sales","9000","3200","12200","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","B02","TV/Movies/Music","11000","500","11500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","E09","Environmental Svcs/Equipment","10000","0","10000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","P04","Public Sector Unions","10000","0","10000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","A02","Tobacco","9500","0","9500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","Q16","Candidate Committees","8871","0","8871","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N14","Steel Production","4000","4700","8700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N12","Misc Business","3500","5000","8500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","H05","Misc Health","1500","6125","7625","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N07","Casinos/Gambling","7500","0","7500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","B13","Internet","7000","500","7500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","Q10","Misc Issues","6024","1000","7024","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","D02","Defense Electronics","7000","0","7000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N08","Lodging/Tourism","7000","0","7000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F05","Credit Unions","6000","500","6500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","W04","Education","0","5700","5700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","M06","Misc Transport","3000","2250","5250","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F06","Finance/Credit Companies","5000","0","5000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","P02","Industrial Unions","5000","0","5000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N06","Recreation/Live Entertainment","3250","1500","4750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N04","Misc Services","4500","250","4750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","B01","Printing & Publishing","2060","1700","3760","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","M05","Sea Transport","3500","0","3500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","E10","Waste Management","2000","1000","3000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","A04","Dairy","0","2700","2700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","W07","Other","0","2600","2600","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","W03","Civil Servants/Public Officials","0","2050","2050","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","D03","Misc Defense","1000","250","1250","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","W02","Non-Profit Institutions","0","1000","1000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","E04","Mining","0","1000","1000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","A10","Forestry & Forest Products","1000","0","1000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F04","Savings & Loans","0","500","500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","A07","Agricultural Services/Products","0","500","500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","W05","Clergy & Religious Organizations","0","250","250","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
